Common Name,Scientific Name,stateProvince,locality,decimalLatitude,decimalLongitude,Matched_Suburb,Matched_Postcode
Bermuda Grass,Cynodon dactylon,Victoria,CRESSY (581571) 5546 m from Werneth 309 deg,-37.98785,143.67372,CRESSY,3322
Bermuda Grass,Cynodon dactylon,Victoria,Kaluna Park and River Precinct Pathway 0.6 km SSE of Wangaratta,-36.35917,146.32778,APPIN PARK,3677
Bermuda Grass,Cynodon dactylon,Victoria,"155 Old Sydney Road, Mickleham Mickleham",-37.5325,144.87694,YUROKE,3063
Bermuda Grass,Cynodon dactylon,Victoria,652231 WINCHELSEA,-38.25147,143.84067,WURDIBOLUC,3241
Bermuda Grass,Cynodon dactylon,Victoria,T2532000 T2532000,-37.5489,144.9108,ROXBURGH PARK,3064
Bermuda Grass,Cynodon dactylon,Victoria,S2546600 Centre about 5 km E of COIMADAI,-37.61639,144.52722,HARKNESS,3337
Bermuda Grass,Cynodon dactylon,Victoria,KMM16F00 Centre about 5 km S of KARADOC,-34.36806,142.28583,RED CLIFFS,3496
Bermuda Grass,Cynodon dactylon,Victoria,"BIT2+60 Lindsay, Mulcra, Wallpolla Islands Wetlands",-34.06676,141.03301,NEDS CORNER,3496
Bermuda Grass,Cynodon dactylon,Victoria,"NE194 Located 200 m north of the junction of Keogh Road and an unnamed track, about 8 km north-east of Peechelba, on the",-36.15685,146.31348,BORALMA,3682
Bermuda Grass,Cynodon dactylon,Victoria,W2Oft4 Wallpolla Island; Murray-Sunset National Park- Central off Dedman's Track,-34.11028,141.76826,LINDSAY POINT,3496
Bermuda Grass,Cynodon dactylon,Victoria,N0219900 Centre about 1 km N of BLACK ROCK,-37.9675,145.02778,BLACK ROCK NORTH,3193
Bermuda Grass,Cynodon dactylon,Victoria,"BRC2_NC109 On Three Chain Rd. Near Corop cemetery, Corop",-36.45458,144.7538,BONN,3561
Bermuda Grass,Cynodon dactylon,Victoria,8030.2 RACV Cape Schanck Resort,-38.4628,144.89861,ROSEBUD PLAZA,3939
Bermuda Grass,Cynodon dactylon,Victoria,TR1SOT3 Hattah-Kulkyne National Park- Raak track,-34.61137,142.41703,NANGILOC,3494
Bermuda Grass,Cynodon dactylon,Victoria,"W2OFT3 Lindsay, Mulcra, Wallpolla Islands Wetlands",-34.11026,141.7677,LINDSAY POINT,3496
Bermuda Grass,Cynodon dactylon,Victoria,F3212300 Centre about 7 km N of KOONOOMOO,-35.82556,145.55139,ULUPNA,3641
Bermuda Grass,Cynodon dactylon,Victoria,Bannockburn 100 m West of Water Treatment Plant,-38.02906,144.13596,SUTHERLANDS CREEK,3331
Bermuda Grass,Cynodon dactylon,Victoria,U0090500 Centre about 4 km NNW of SEASPRAY,-38.33722,147.16889,GIFFARD,3851
Bermuda Grass,Cynodon dactylon,Victoria,A1650500 Centre about 38 km NNW of MORKALLA,-34.05694,141.0175,NEDS CORNER,3496
Bermuda Grass,Cynodon dactylon,Victoria,TR3OFT2 Hattah-Kulkyne National Park- South-west corner,-34.75436,142.51288,ROBINVALE IRRIGATION DISTRICT SECTION C,3549
Bermuda Grass,Cynodon dactylon,Victoria,E0452200 Centre about 379 m SSW of ESSENDON NORTH,-37.725,144.90722,ESSENDON NORTH,3041
Bermuda Grass,Cynodon dactylon,Victoria,U0016700 Centre about 2 km S of COLDSTREAM,-37.74111,145.37333,LILYDALE,3140
Bermuda Grass,Cynodon dactylon,Victoria,4-6 Telford Street Marengo - Biodiversity Assessment 4-6 Telford Street Marengo,-38.7758,143.66142,MARENGO,3233
Bermuda Grass,Cynodon dactylon,Victoria,Site 18 Hattah-Kulkyne National Park lake system,-34.78472,142.46511,TORRITA,3490
